"row_id","fold"
8,1
12,1
18,1
28,1
33,1
44,1
45,1
59,1
60,1
63,1
71,1
74,1
78,1
102,1
111,1
112,1
122,1
126,1
134,1
148,1
152,1
155,1
157,1
162,1
165,1
171,1
184,1
189,1
197,1
199,1
207,1
223,1
224,1
227,1
228,1
232,1
236,1
258,1
274,1
278,1
283,1
295,1
306,1
316,1
321,1
325,1
333,1
334,1
352,1
353,1
355,1
358,1
375,1
389,1
390,1
402,1
403,1
415,1
416,1
418,1
422,1
426,1
427,1
430,1
432,1
436,1
438,1
451,1
457,1
458,1
464,1
466,1
474,1
477,1
479,1
480,1
482,1
488,1
493,1
501,1
506,1
517,1
519,1
520,1
522,1
525,1
526,1
535,1
544,1
6,2
7,2
11,2
23,2
31,2
32,2
42,2
51,2
57,2
58,2
62,2
65,2
68,2
72,2
75,2
77,2
79,2
88,2
92,2
95,2
110,2
113,2
128,2
132,2
139,2
158,2
161,2
163,2
164,2
168,2
178,2
185,2
186,2
194,2
195,2
196,2
204,2
206,2
210,2
211,2
212,2
213,2
214,2
235,2
239,2
240,2
241,2
243,2
253,2
262,2
270,2
276,2
282,2
299,2
305,2
307,2
308,2
317,2
318,2
348,2
350,2
354,2
366,2
368,2
370,2
400,2
404,2
420,2
443,2
446,2
456,2
460,2
462,2
463,2
465,2
467,2
470,2
473,2
490,2
492,2
497,2
499,2
507,2
508,2
516,2
532,2
539,2
540,2
546,2
1,3
17,3
19,3
21,3
34,3
36,3
40,3
50,3
53,3
54,3
56,3
81,3
83,3
87,3
90,3
99,3
117,3
120,3
123,3
130,3
141,3
149,3
150,3
160,3
169,3
170,3
174,3
180,3
190,3
192,3
208,3
217,3
230,3
249,3
256,3
260,3
261,3
265,3
267,3
268,3
269,3
272,3
273,3
280,3
281,3
284,3
285,3
289,3
293,3
301,3
332,3
337,3
345,3
349,3
367,3
373,3
374,3
385,3
388,3
394,3
406,3
410,3
411,3
423,3
428,3
431,3
433,3
440,3
452,3
454,3
455,3
471,3
472,3
475,3
476,3
481,3
491,3
495,3
502,3
504,3
505,3
509,3
514,3
515,3
521,3
524,3
537,3
538,3
541,3
5,4
9,4
13,4
15,4
16,4
24,4
25,4
26,4
30,4
35,4
39,4
41,4
46,4
48,4
49,4
52,4
61,4
64,4
69,4
70,4
73,4
76,4
84,4
85,4
104,4
106,4
115,4
127,4
129,4
135,4
136,4
137,4
142,4
147,4
154,4
156,4
175,4
177,4
209,4
215,4
216,4
219,4
226,4
229,4
245,4
246,4
247,4
248,4
250,4
255,4
279,4
288,4
296,4
302,4
311,4
312,4
314,4
323,4
324,4
326,4
330,4
335,4
339,4
342,4
344,4
346,4
357,4
359,4
360,4
369,4
384,4
387,4
397,4
408,4
421,4
425,4
429,4
439,4
441,4
448,4
468,4
469,4
486,4
510,4
523,4
529,4
534,4
536,4
543,4
2,5
3,5
10,5
14,5
47,5
66,5
82,5
91,5
93,5
94,5
96,5
97,5
98,5
103,5
109,5
116,5
118,5
119,5
121,5
133,5
138,5
143,5
144,5
145,5
146,5
153,5
159,5
166,5
176,5
183,5
188,5
193,5
200,5
202,5
203,5
218,5
237,5
238,5
242,5
244,5
251,5
252,5
259,5
275,5
277,5
291,5
294,5
303,5
304,5
309,5
310,5
327,5
336,5
341,5
356,5
363,5
364,5
371,5
372,5
376,5
377,5
378,5
379,5
380,5
381,5
383,5
391,5
392,5
396,5
398,5
401,5
413,5
414,5
419,5
424,5
442,5
450,5
453,5
459,5
461,5
484,5
485,5
496,5
498,5
512,5
513,5
531,5
533,5
545,5
22,1
27,1
38,1
80,1
89,1
107,1
114,1
187,1
221,1
234,1
266,1
286,1
287,1
313,1
322,1
483,1
489,1
503,1
511,1
527,1
530,1
4,2
37,2
55,2
86,2
108,2
172,2
198,2
297,2
298,2
319,2
328,2
331,2
361,2
362,2
365,2
393,2
417,2
434,2
445,2
478,2
167,3
181,3
182,3
191,3
225,3
233,3
254,3
300,3
338,3
343,3
347,3
351,3
395,3
435,3
444,3
487,3
494,3
518,3
528,3
542,3
20,4
29,4
43,4
105,4
124,4
131,4
140,4
179,4
205,4
220,4
264,4
292,4
315,4
329,4
382,4
386,4
407,4
412,4
437,4
500,4
67,5
100,5
101,5
125,5
151,5
173,5
201,5
222,5
231,5
257,5
263,5
271,5
290,5
320,5
340,5
399,5
405,5
409,5
447,5
449,5
